# Gnuplot user time data file for 9 iterations of p.
# p  h  min  sec
0.1 0 5 56.93
0.2 0 10 39.48
0.3 0 14 9.06
0.4 0 16 10.68
0.5 0 16 53.96
0.6 0 16 17.75
0.7 0 14 0.71
0.8 0 11 19.07
0.9 0 5 56.84
