# Gnuplot memory data file for 9 iterations of p.
# p  kbytes mbytes
 0.1 49888 49.88
 0.2 71468 71.46
 0.3 81436 81.43
 0.4 94432 94.43
 0.5 103068 103.06
 0.6 120132 120.13
 0.7 135232 135.23
 0.8 147508 147.50
 0.9 158548 158.54
