# Gnuplot user time data file for 9 iterations of p.
# p  h  min  sec
0.1 0 58 54.21
0.2 2 52 12.80
0.3 4 21 42.66
0.4 5 45 53.35
0.5 7 7 43.23
0.6 7 8 18.38
0.7 7 0 53.71
0.8 7 38 9.32
0.9 8 30 53.05
