# Gnuplot memory data file for 9 iterations of p.
# p  kbytes mbytes
 0.1 1685.47 1.68
 0.2 2933.36 2.93
 0.3 4301.64 4.30
 0.4 5654.76 5.65
 0.5 7035.78 7.03
 0.6 8401.56 8.40
 0.7 9806.88 9.80
 0.8 11187.60 11.18
 0.9 12631.00 12.63
